Activity Name,Activity Type,Park ID,Park Name,Timings,Height Restrictions,URL,Location Lat,Location Lng
Sergio,Entertainment,80007838,EPCOT,00:00:00 to 23:59:00,,https://disneyworld.disney.go.com/entertainment/epcot/sergio-italian-juggler/,28.367692,-81.548249
Waterview Park,Entertainment,10460,Disney Springs,,,https://disneyworld.disney.go.com/entertainment/disney-springs/waterview-park/,28.37161,-81.518211
Disney Adventure Friends Cavalcade,Entertainment,80007944,Magic Kingdom Park,"17:10:00 to 17:10:00, 18:25:00 to 18:25:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/disney-adventure-friends-cavalcade/,28.419507,-81.581177
First Order Searches for the Resistance,Entertainment,80007998,Disney's Hollywood Studios,"11:30:00 to 11:30:00, 12:30:00 to 12:30:00, 13:30:00 to 13:30:00, 14:30:00 to 14:30:00, 16:30:00 to 16:30:00, 17:30:00 to 17:30:00, 18:30:00 to 18:30:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/first-order-searches-for-the-resistance/ ,28.354335,-81.562562
Music of Mexico,Entertainment,80007838,EPCOT,,,https://disneyworld.disney.go.com/entertainment/epcot/music-of-mexico/,28.370993,-81.547431
Animal Encounters: Winged Encounters – The Kingdom Takes Flight,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"09:15:00 to 09:15:00, 10:15:00 to 10:15:00, 11:15:00 to 11:15:00, 13:15:00 to 13:15:00, 14:15:00 to 14:15:00, 15:15:00 to 15:15:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/winged-encounters/,28.357339,-81.590462
Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,Entertainment,80007944,Magic Kingdom Park,10:00:00 to 19:00:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-goofy-donald/,28.421282,-81.578932
Pixar,Entertainment,80007798,,,,https://disneyworld.disney.go.com/entertainment/pixar/,28.370176,-81.517283
Meet Belle in France,Entertainment,80007838,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-belle/,28.36876,-81.55212
Disney® Visa® Cardmember Photo Opportunity at EPCOT,Entertainment,80007838,EPCOT,13:00:00 to 18:30:00,,https://disneyworld.disney.go.com/entertainment/epcot/visa-card-character-experience/,28.37258,-81.550904
AdventHealth Waterside Stage,Entertainment,10460,Disney Springs,,,https://disneyworld.disney.go.com/entertainment/disney-springs/adventhealth-waterside-stage/,28.37179,-81.51529
Meet Princess Aurora in France,Entertainment,80007838,EPCOT,"09:00:00 to 09:00:00, 10:15:00 to 10:15:00, 11:25:00 to 11:25:00, 13:20:00 to 13:20:00, 14:30:00 to 14:30:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-aurora-france/,28.36922,-81.55286
Disney Princesses at Walt Disney World Resort,Entertainment,80007798,,,,https://disneyworld.disney.go.com/entertainment/princesses/,,
